num_large_appliances,total_units_purchased,total_units_purchased_on_mfr_coup,total_units_purchased_on_store_coup,num_small_appliances,num_pets,num_members_in_household,household_income,male_head_avg_work_hours,female_head_avg_work_hours,household_id,rim_market,primary_head_avg_work_hours,total_head_avg_work_hours,weekday_shopper,weekday_purchase_percentage,residence_status
14,334.0000,12,36,14,1,2,7,40,20,1102079,1,20,60,0,0.31437126,1
10,131.0000,2,0,11,0,2,3,40,30,1102129,1,30,70,1,0.74045802,1
12,215.0000,8,1,16,0,4,10,60,40,1102152,1,40,100,1,0.85581395,1
13,68.0000,0,1,14,0,1,6,15,0,1102186,1,0,15,1,1.00000000,1
12,82.0000,7,5,15,0,3,6,50,22,1102236,1,22,72,1,0.76829268,1
10,69.0000,10,7,14,0,2,3,0,0,1102244,1,0,0,1,0.75362319,1
4,25.0000,0,2,14,0,1,2,0,40,1102293,1,40,40,0,0.40000000,2
14,207.0000,5,12,11,1,2,6,60,0,1102301,1,0,60,1,0.99033816,1
12,71.0000,0,3,15,0,4,6,66,40,1102327,1,40,106,0,0.29577465,1
10,47.0000,12,4,6,0,1,4,0,40,1102392,1,40,40,0,0.36170213,1
6,70.0000,2,0,6,0,2,3,0,0,1102418,1,0,0,1,0.65714286,1
12,61.0000,0,0,10,0,3,5,50,25,1102426,1,25,75,0,0.45901639,1
8,95.0000,2,2,8,0,2,9,45,40,1102459,1,40,85,1,0.67368421,2
14,78.0000,11,0,13,1,2,6,0,40,1102483,1,40,40,1,0.80769231,1
10,230.0000,3,5,8,1,7,12,80,0,1102491,1,0,80,1,0.60434783,1
2,30.0000,5,8,13,0,1,2,0,15,1102533,1,15,15,1,0.70000000,2
12,68.0000,5,2,17,0,2,12,40,0,1102541,1,0,40,0,0.47058824,2
2,137.0000,0,5,11,0,2,5,30,40,1102673,1,40,70,1,0.81021898,2
12,97.0000,8,4,17,1,3,5,40,40,1102699,1,40,80,1,0.81443299,1
10,115.0000,8,17,15,1,2,3,0,40,1102707,1,40,40,0,0.34782609,1
5,45.0000,2,3,9,0,1,3,0,40,1102715,1,40,40,1,0.53333333,2
